BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
10,"","","Moore, Gordon Earle","Cramming more components onto integrated circuits","",,,"4","",1965,"","","https://newsroom.intel.com/wp-content/uploads/sites/11/2018/05/moores-law-electronics.pdf","","","","","Semiconductor, Fairchild","","","","","","","","With unit cost falling as the number of components percircuit rises, by 1975 economics may dictate squeezing asmany as 65,000 components on a single silicon chip.","","moore's law, integrated circuit, fairchild semiconductor","",""
7,"","","Sugarman, Robert","Does the country need a good $20 microprocessor?","The Engineering Newspaper for the Electronics Industry",,,"8","",1975,"","","https://www.commodore.ca/gallery/magazines/misc/mos_605x_team_eetimes_august_1975.pdf","","","","","","","","","","","","","MOS Technology MCS650X microprocessor designers gather around a 200X print of the CPU Rubylith, color-coded for debugging into metallization, polysilicon and diffusion layers. In the background is a 1000X expansion of the internal 21X143 decode-ROM, which manager Chuck Peddle claims is a key factor in obtaining small chip size.","","6502, rubylith, engineering, chuck peddle","",""
10,"","","Moore, Gordon Earle","Progress in digital integrated electronics","",,,"","",1975,"","","https://www.eng.auburn.edu/~agrawvd/COURSE/E7770_Spr07/READ/Gordon_Moore_1975_Speech.pdf","","","","","Intel","","","","","","","","","","","",""
1,"","","Waite, Mitchell","Computer Graphics Primer","",,,"","",1979,"","","https://www.atariarchives.org/cgp/Ch02_Sec25.php","","","","","Howard W. Sams \& Co., Inc.","","","","","","","","Perhaps no single technology has had more impact on people than television. Yet according to the experts the real impact is just starting.  The reason? Home computers that connect to a standard television and convert it into a machine with more raw power than any product ever offered to the consumer and with the capability to completely alter the way we relate to the visual world of electronics.  This book is about one of the most exciting uses of the new home computer products—computer graphics—the ability to create complex drawings, plans, maps, and schematics on the screen of an ordinary black-and-white or color television. It is divided into three chapters. Chapter 1, “Perspectives,” presents what the entirely new field of home computer graphics is all about, explains how it got started, and illustrates some of the exciting applications for low-cost graphics displays. Chapter 2, “Basic Concepts,” introduces the general hardware and software concepts behind computer graphics and continues by presenting a profile of the numerous products on the market today. A section on graphics accessories is also included.  Chapter 3, the meat of the book, is entitled “Graphics Programming.” It introduces the graphics features of the Apple II computer used for this book, and then goes on to describe these concepts: plotting simple equations; drawing lines and vectors; creation of simple geometric shapes (rectangles, triangles, polygons, circles) as well as gaming figures (small tanks, jets, cars, rackets, animals); mandalas and other computer art effects, including tunneling; shape shifting, random artwork; detailed drawings and the use of digitizing tables; and, finally, moving figure animation.  The first two chapters of the book can be read any time and will be of help in evaluating which personal computer to buy for graphics work. The third chapter can be studied whether or not you own a computer, but your understanding will certainly be enhanced if one is available to practice the examples on.  The author hopes that you find this journey into computer graphics exciting, comprehensive, and, most of all, enjoyable.","","calma, engineering","",""
10,"","","Veen, Arthur H.","Dataflow machine architecture","",,,"12","",1986,"","","https://www.researchgate.net/publication/220566271","","","","","Surveys, A. C. M.  Computing","","","","","","","","Dataflow machines are programmable computers of which the hardware is optimized for fine-grain data-driven parallel computation. The principles and complications of data-driven execution are explained, as well as the advantages and costs of fine-grain parallelism. A general model for a dataflow machine is presented and the major design options are discussed.Most dataflow machines described in the literature are surveyed on the basis of this model and its associated technology. For general-purpose computing the most promising dataflow machines are those that employ packet-switching communication and support general recursion. Such a recursion mechanism requires an extremely fast mechanism to map a sparsely occupied virtual space to a physical space of realistic size. No solution has yet proved fully satisfactory.A working prototype of one processing element is described in detail. On the basis of experience with this prototype, some of the objections raised against the dataflow approach are discussed. It appears that the overhead due to fine-grain parallelism can be made acceptable by sophisticated compiling and employing special hardware for the storage of data structures. Many computing-intensive programs show sufficient parallelism. In fact, a major problem is to restrain parallelism when machine resources tend to get overloaded. Another issue that requires further investigation is the distribution of computation and data structures over the processing elements.","","dataflow, data-driven computing, architecture","",""
10,"","","Freeman, Ross H.","Configurable electrical circuit having configurable logic elements and configurable interconnects","",,US4870302A,"9","",1989,"","","https://patents.google.com/patent/US4870302A/","","","","","","","","","","","","","A configurable logic array comprises a plurality of configurable logic elements variably interconnected in response to control signals to perform a selected logic function. Each configurable logic element in the array is in itself capable of performing any one of a plurality of logic functions depending upon the control information placed in the configurable logic element. Each configurable logic element can have its function varied even after it is installed in a system by changing the control information placed in that element. Structure is provided for storing control information and providing access to the stored control information to allow each configurable logic element to be properly configured prior to the initiation of operation of the system of which the array is a part. Novel interconnection structures are provided to facilitate the configuring of each logic element.","","fpga, xilinx","",""
10,"","","Kahng, A. B. & Pati, Y. C.","Subwavelength optical lithography, challenges and impact on physical design","",,,"4","",1999,"","","https://vlsicad.ucsd.edu/Publications/Conferences/94/c94.pdf","","","","","of Computer Science, U. C. L. A.  Department & Numerical Technologies, Inc","","","","","","","","We review the implications of subwavelength optical lithography for new tools and ows in the interface between layout design and manufacturability. After discussing the necessity of corrections for optical process effects (i.e., use of optical proximity correction (OPC) and phase-shifting masks (PSM)), we focus on the implications of OPC and PSM for layout and verication methodologies. Our discussion addresses the necessary changes in the design-to- manufacturing ow, including infrastructure development in the mask and process communities as well as opportunities for research and development in physical layout and verification.","","","",""
10,"","","Schüler, E. & Helfers, Tim","XPP - eXtreme Processing Platform Technology for space applications","",,,"9","",2001,"","","http://spacewire.esa.int/WG/Data-Systems/OPDP-proceedings/Presentations/session%20II.B/3_Astrium_XPP_Helfers.pdf","","","","","Astrium, P. A. C. T.","","","","","","","","","","xpp, architecture, von neumann, fpga","",""
10,"","","Zoltan Baruch, Octavian Creţ & Pusztai, Kalman","Configurable processor","",,,"5","",2002,"","","https://www.researchgate.net/publication/229001961_CONFIGURABLE_PROCESSOR","","","","","of Cluj-Napoca, Technical University","","","","","","","","Configurable architectures can deliver the high performance required by computationally-demanding applications, similar to the ASIC circuits, while providing the flexibility of the programmable processors. The performances achieved by these architectures are often one or two orders of magnitude higher than those of processor-based alternatives. In this paper we describe the design and implementation of a configurable processor. The proces- sor consists of a constant part and a configurable structure. The constant part allows to solve simple applications without changing the existing resources. The configurable part is defined by the user, based on the requirements of a specific application. This part contains application- specific functional blocks, controlled by special instructions. The integration of a classical proc- essor and a configurable architecture within the same circuit allows to exploit the advantages of both architectures. For the design of the configurable processor we used the VHDL language. The implementation was performed using a Xilinx XCV600E FPGA device. This processor can be used in several types of applications: data encryption and compression, image processing, digital signal processing, special arithmetic.","","Configurable computing, Configurable architectures, Reconfigurable devices, FPGA devices.","",""
10,"","","Compton, Katherine & Hauck, Scott","Reconfigurable computing: a survey of systems and software","",,,"5","",2002,"","","https://people.ece.uw.edu/hauck/publications/ConfigCompute.pdf","","","","","Surveys, A. C. M.  Computing","","","","","","","","Due to its potential to greatly accelerate a wide variety of applications, reconfigurable computing has become a subject of a great deal of research. Its key feature is the ability to perform computations in hardware to increase performance, while retaining much of the flexibility of a software solution. In this survey, we explore the hardware aspects of reconfigurable computing machines, from single chip architectures to multi-chip systems, including internal structures and external coupling. We also focus on the software that targets these machines, such as compilation tools that map high-leve lalgorithms directly to the reconfigurable substrate. Finally, we consider the issues involved in run-time reconfigurable systems, which reuse the configurable hardware during program execution","","reconfigurable computing, fpga, architecture","",""
